Power Speed PasteThickness NickelWt 
SixHundred    SixHundred   TwoTenths 38.64
SixHundred    SixHundred ThreeTenths 35.13
SixHundred    SixHundred  FourTenths 19.20
SixHundred   NineHundred   TwoTenths 38.16
SixHundred   NineHundred ThreeTenths 34.24
SixHundred   NineHundred  FourTenths 26.23
SixHundred TwelveHundred   TwoTenths 37.54
SixHundred TwelveHundred ThreeTenths 33.46
SixHundred TwelveHundred  FourTenths 30.44
SevenHundred    SixHundred   TwoTenths 36.56
SevenHundred    SixHundred ThreeTenths 35.91
SevenHundred    SixHundred  FourTenths 34.62
SevenHundred   NineHundred   TwoTenths 39.16
SevenHundred   NineHundred ThreeTenths 33.10
SevenHundred   NineHundred  FourTenths 28.71
SevenHundred TwelveHundred   TwoTenths 37.06
SevenHundred TwelveHundred ThreeTenths 31.78
SevenHundred TwelveHundred  FourTenths 21.50
EightHundred    SixHundred   TwoTenths 39.44
EightHundred    SixHundred ThreeTenths 40.42
EightHundred    SixHundred  FourTenths 37.21
EightHundred   NineHundred   TwoTenths 39.34
EightHundred   NineHundred ThreeTenths 37.64
EightHundred   NineHundred  FourTenths 35.65
EightHundred TwelveHundred   TwoTenths 39.30
EightHundred TwelveHundred ThreeTenths 34.97
EightHundred TwelveHundred  FourTenths 32.50
