Sunshine	Variety	Fertilizer	Yield
Low	Variety1	Low	86
Low	Variety1	Low	115
Low	Variety1	Low	83
Low	Variety1	Low	70
Low	Variety1	High	109
Low	Variety1	High	87
Low	Variety1	High	91
Low	Variety1	High	97
Low	Variety2	Low	102
Low	Variety2	Low	86
Low	Variety2	Low	68
Low	Variety2	Low	85
Low	Variety2	High	104
Low	Variety2	High	114
Low	Variety2	High	99
Low	Variety2	High	113
Low	Variety3	Low	75
Low	Variety3	Low	9
Low	Variety3	Low	68
Low	Variety3	Low	95
Low	Variety3	High	99
Low	Variety3	High	70
Low	Variety3	High	80
Low	Variety3	High	109
High	Variety1	Low	78
High	Variety1	Low	63
High	Variety1	Low	91
High	Variety1	Low	80
High	Variety1	High	99
High	Variety1	High	108
High	Variety1	High	116
High	Variety1	High	93
High	Variety2	Low	92
High	Variety2	Low	78
High	Variety2	Low	83
High	Variety2	Low	87
High	Variety2	High	85
High	Variety2	High	117
High	Variety2	High	99
High	Variety2	High	99
High	Variety3	Low	103
High	Variety3	Low	115
High	Variety3	Low	95
High	Variety3	Low	118
High	Variety3	High	116
High	Variety3	High	125
High	Variety3	High	114
High	Variety3	High	111
