id,ref,alt._#,exc,garden_#_(PPM),peristyle_type,garden_size,peristyle_size,property_size,percent_of_property,shape,peristyle_proportion,orientation_of_peristyle,alignment_with_atrium,direction_from_atrium,peristyle_direction_from_main_entrance,peristyle_direction_from_2nd_entrance,atria,atrium_column_style,tablinum,tablinum_type,access_to_garden...23,pluteus,pluteus_height,pluteus_width,pluteus_description,pluteus_decoration,fence,fence_height,order,walkways,walkway_sides...33,walkway_width_min,walkway_width_max...35,narrowest_walkway_dir,widest_walkway_dir,portico_sides...38,columns,pillars,total_frstdng_supports,engaged,column_material,bases,main_shaft_decoration,lower_shaft_decoration,lower_decoration_height,lower_decoration_proportion,pillar_surface_treatment,column_diameter,column_height,proportion,walkway_width_max...53,avg_intercolumniation,intercolumniation_range,intercolumniation_deviation,ratio_diam_to_intercolumniation,decoration,painting_style...59,pavement,furniture,table_(Moss/_Cohon),table_position...63,sculpture,oscillae,water...66,dining,other_features,cisterns,other_finds,other_gardens...71,visible_from_entrance?,visible_from_atrium?,orientation,private_bath,plants...76,atrium_direction...77,largest_room_direction...78,notes...79,water...80,pools...81,pool_surface,pool_position...83,pool_depth,fountain_in_pool,channel_material,channel_type,channel_width,channel_sides,fountains...90,date_(Richardson),entrance_from_street?,lararium_(Boyce/Orr)...93,upper_story,large_room_on_axis?,...96,...97,connection_to_water_supply,rooms_accessed...99,#_areas_accessed,lararium_(Boyce),altar...102,aedicula,simple_niche,sacellum...105,walkway_notes,pools...107,pool_position...108,rectangular,rect_with_exedra,square,apsidal,circular,semicircular,other,painting_style...116,garden_painting,myth_painting,landscape,animal_painting,other_painting,access_to_garden...122,atrium_direction...123,largest_room_direction...124,other_gardens...125,connection_to_water,building_type,rooms_accessed...128,stairs/_corridors_accessed,total_areas_accessed,visited?,measured?,entrance_photo?,walkway_sides...134,portico_sides...135,walkway_N,walkway_S,walkway_E,walkway_W,portico_N,portico_S,portico_E,portico_W,shrine_direction,aedicula_(on_axis),niche_w/_aedicula,niche,altar...148,painting,sacellum...150,lararium_(Boyce/Orr)...151,tables,cupboards,triclinia_(masonry),triclinia_(wood),seating,1_support_table,2_support_table,3_support_table,4_support_table,notes...161,table_position...162,table_function,fountains...164,pools...165,plants...166,cavities,planters_/boxes,vines,furrows_/beds,unspecified,brick_supports,opus_mixtum_supports,masonry_supports,stone_supports,stone_blocks
I.02.06_House of the Actors,NA,NA,1873,g,tru,NA,90,310,29,square,1.1000000000000001,N-S,perp,E,E,NA,1 Tuscan,NA,no,NA,"direct from atrium, wide and narrow door (0)",no,NA,NA,NA,NA,NA,NA,Doric,4,"N, S, E, W",1.6,2.1,E,"N, S",NA,8,NA,8,NA,mixtum with plaster,no,fully fluted (20-sided),NA,NA,NA,NA,40,unknown,unknown,"2.1 (north, south)",NA,NA,?,NA,"3rd style, red panels separated by candelabra",3rd,unknown,none,NA,NA,none,NA,round pool (no longer extant),NA,cistern head in SW colonnade,cistern head in SW colonnade; terracotta puteal (gone),none reported,no,yes,yes,perpendicular,no,NA,west,south,poor condition; only 4 columns left in situ,round pool (no longer extant),"1 circular, destroyed",?,center,NA,?,?,?,?,NA,?,NA,no,no,NA,no; nothing,1 circle,circle 1,yes,"4 rooms, 1 stair",5,no,NA,NA,NA,NA,NA,"1 circular, destroyed",center,NA,NA,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I.02.16_house,"Nicc 2:76; GSc 3:46, 177-9, pl. 6; Fiorelli 43; Nicc 3 (l'arte) pl. 12; Boyce 22; Jash 1:48; Dwyer 128",NA,1873,b,truncated,NA,110,240,0.4583333333333333,rect,NA,N-S,NA,NA,S,NA,0,NA,NA,NA,NA,yes,unknown,27,NA,unknown,NA,NA,Doric?,2,"2 (N, E)",NA,NA,NA,NA,"2 (N, E)",3,1,4,0,"masonry, brick, and plaster",no?,unknown--plaster,NA,NA,NA,smooth,43,2.59,6.02,NA,NA,NA,NA,NA,plaster remains on W wall but no decoration visible; much of house in 1st style,?,NA,NA,no,NA,terracotta fountain sculpture of a philosopher,none reported,NA,NA,lararium aedicula in NW; terracotta puteal,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,1st style decoration in rooms to E of garden; house virtually unchanged except for earthquake repairs since Oscan period (PPM 1:30),NA,NA,NA,NA,NA,NA,concrete,NA,NA,"2 (N, E)",NA,NA,NA,aedicula of masonry with arched niche on podium (NW) (8),NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,?,NA,NA,NA,NA,NA,entrance corridor a,NA,E,no,NA,res,4,NA,4,2022,2022,no,"2 (N, E)","2 (N, E)",1,NA,1,NA,1,NA,1,NA,N,N (no),NA,NA,NA,NA,NA,aedicula of masonry with arched niche on podium (NW) (8),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,combo: brick and stone blocks with plaster,combo: brick and stone blocks with plaster,combo: brick and stone blocks with plaster,combo: brick and stone blocks with plaster,combo: brick and stone blocks with plaster
I.02.17_house,"Nicc 2:76; Mau BdI 1873: 238+; GSc 2:46-8, 55; Fiorelli descr 44; Boyce 22; Jash 124-5; Dwyer 124, 127",NA,1873,m,truncated,40,70,NA,NA,quad,NA,E-W,non-standard,E,not visible,NA,1 Tuscan,NA,yes,wide door,room K at east of atrium or from property I.2.18/19,no,NA,NA,NA,NA,NA,NA,NA,2,"2 (N, W)",1.27,1.48,W,N,"2 (N, W)",0,2,2,NA,op list and plaster,NA,NA,NA,NA,NA,smooth with red paint,NA,NA,NA,1.48,NA,NA,NA,NA,garden paintings separated by candelabra S and E; walkways and pillars with simple compartments,3rd (4th?) simplified,NA,NA,NA,NA,yes: Venus (MNA 109608); 2 toads; doves; head of a man (MNA 109611)--all marble,no,NA,NA,"largest garden statuette of Venus in the city--104 cm (Jash 1:124-5, Boyce 22) 130 cm (Dwyer 124); MNA inv. 109608",NA,marble-veneered aedicula shrine,NA,no,yes,NA,NA,NA,NA,NA,readded from outtakes Aug 2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"shrine with vaulted niche on low base, masonry with marble veneer, with statuette of Venus (E) (22, pl 37.2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3rd,"yes (S, E)",NA,NA,NA,NA,small room k E of atrium,W,N,small lightwell garden behind tablinum,NA,res,1,0,1,2022,2022,yes,"2 (N, W)","2 (N, W)",1,NA,NA,1,1,NA,NA,1,E,E (on axis w/ ent to peri but not atrium),NA,NA,NA,NA,NA,"shrine with vaulted niche on low base, masonry with marble veneer, with statuette of Venus (E) (22, pl 37.2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I.02.24_caupona / Officina Libraria,"Niccolini 2: 77; Mau BdI 1873:245, 262, 1874:253-6, 262-3; GSc 3:60; Fiorelli Des 47; Boyce 23; Jash 179",NA,1873,c,truncated,65,110,315,0.3492063492063492,quad,NA,N-S,NA,E,not visible,NA,1 irregular,NA,NA,NA,NA,yes,52 (source?),31,NA,unknown,NA,NA,unknown,2,"2 (S, W)",1.95,2.19,S,W,"2 (S, W) (S with pier)",3,1,4,1,brick/stone (opus listatum) and plaster,no?,smooth and black below,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,Third style (Packer 17-18; May BdI 1873:246),3rd,NA,masonry triclinium and table,no,NA,NA,NA,NA,masonry triclinium,low podium along N; niche,NA,none reported,NA,no,no,NA,NA,NA,NA,NA,Restaurant/Inn (Packer 12); Peristyle originally larger; renovated to allow for rooms at S and NW (Mau BdI 1874:255-6); pluteus 52 cm (Mau BdI 1874:255),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"niche above triclinium, once with aedicula (E) (17)",yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3rd,NA,NA,NA,NA,NA,large main room b,NA,W,no,NA,inn,2 service rooms,NA,2,2022,2022,no,"2 (S, W)","2 (S, W) (S with pier)",NA,1,NA,1,NA,1,NA,1,E,NA,E,NA,NA,NA,NA,"niche above triclinium, once with aedicula (E) (17)",NA,NA,1 (Sop 292),NA,NA,NA,NA,NA,NA,tric--table covered with white marble pieces,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
I.02.28_House of the Metal Grate / House of the Tetrastyle Atrium,"Niccolini 2:77; GSc 3:60; Mau BdI 1874: 250-2, 551; Fiorelli Des 48; Viola 14",NA,1873-4,h,truncated,35?,90,360,0.25,rect,NA,E-W,perp,N,N,NA,1 tetra,Ionic,yes,door,NA,yes,24+,24,NA,painted red,NA,NA,Doric,2,"2 (S, E)",NA,NA,NA,NA,"2 (S, E)",3,0,3,2,brick/stone (opus listatum) and rough plaster,NA,"unfluted; red to height of pluteus, white above",NA,unknown,NA,NA,42,2.39 (from raised garden),5.69 (7.5 if meaured from the ground),NA,NA,NA,NA,NA,NA,NA,NA,masonry triclinium and table,no,NA,NA,NA,pipe led through tufa table base (PPM 1:60; soprano 293),masonry triclinium with round tufa table,small podium with steps; tufa altar; two wellheads in garden area; cuttings in plaster on SW--maybe for cabinets?,NA,NA,NA,yes,yes,NA,NA,NA,NA,NA,"garden area raised above portico level, accessed via wooden stairs at openings in pluteus (Mau BdI 1874:251)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2? (S,E)",NA,200-80 BCE,NA,altar of tufa (not in Boyce),NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tablinum d,S,E,no,yes? (Mau BdI 1874:251),res,5,NA,5,2022,2022,yes,"2 (S, E)","2 (S, E)",NA,1,1,NA,NA,1,1,NA,UNK,NA,NA,NA,UNK,NA,NA,altar of tufa (not in Boyce),NA,NA,1 (Sop 293),NA,NA,NA,NA,NA,NA,tric--circular tufa table with fountain jet,NA,NA,triclinium: pipe led through tufa table base (PPM 1:60; soprano 293),NA,NA,NA,NA,NA,NA,NA,0,2,0,2,masonry and plaster
I.03.03_House of Epidius Fortunatus,"Nicc 2:77; Mau BdI 1874:181-2; Fiorelli Scav 70-1, Desc. 50-1; Pernice 14",NA,1860?,p/x,truncated,100?,215,600,0.35833333333333334,rect,NA,N-S,perp,E,not visible,NA,1 tuscan,NA,yes,closed,NA,no,NA,NA,NA,NA,NA,NA,Doric,3,"3 (N, E, W)",NA,NA,NA,NA,"3 (N, E, W)",10,0,10,2 (S),brick and plaster,NA,fluted and painted red,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,late 3rd style (PPM 1:65),3rd (late),"cocciopesto with white tesserae, patterns in intercolumniations",NA,no,NA,NA,NA,"fountain jet from column in west portico (Mau BdI 1974:181-2, visible in Warsher 1815); lead pipes for collection and distribution of rainwater (PPM 1:65)",NA,holes for lighting subterranean rooms; stone puteal,NA,NA,NA,no,no,NA,NA,NA,NA,NA,placed on a higher level than atrium,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3 (N, E, W)",NA,NA,NA,NA,yes--peristyle located on upper story,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3rd (late),NA,NA,NA,NA,NA,stairs up from atrium,W,N,no,yes (Mau BdI 1874:181-2),res,8,NA,8,2022,2022,yes,"3 (N, E, W)","3 (N, E, W)",1,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,column: fountain jet from column in west portico (Mau BdI 1974:181-2,NA,NA,NA,NA,NA,NA,NA,yes,brick,brick,brick,brick
I.03.08b_house,"Nicc 2:78; GSc 1:300-1; Fiorelli Scavi 72, Desc 52-3; Pernice 34; Boyce 24",NA,1869,b/c,truncated,NA,155,440,0.3522727272727273,quad,NA,E-W,NA,NA,E,NA,0,NA,NA,NA,NA,yes,NA,NA,NA,?,remnants of metal in columns,NA,Doric,3,"3 (N, E, W)",NA,NA,NA,NA,"3 (N, E, W)",6,0,6,0,stone; brick (arcade),no,Fluted (Doric) on stone columns; brick unknown,NA,NA,NA,NA,46,2.89,6.3,NA,NA,NA,NA,NA,?,NA,NA,table,"A50 (nude male, now missing, 430-31); Sogliano NSc 1887, 412",unknown,NA,NA,NA,NA,structure at east,NA,2 chunks of partly carved white marble remain in garden,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,unknown,NA,unknown,NA,NA,NA,niche with statuette of Minerva (E) (22),?,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fauces,NA,S,no,NA,res,14 (all),NA,14,"2011, 2009",2011,yes,"3 (N, E, W)","3 (N, E, W)",1,NA,1,1,1,NA,1,1,E,NA,NA,E,NA,NA,NA,niche with statuette of Minerva (E) (22),1,NA,NA,NA,NA,1,NA,NA,NA,A50?,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,brick and masonry and plaster,brick and masonry and plaster,brick and masonry and plaster,brick and masonry and plaster
I.03.20_house,"Nicc 2:78; Matz BdI 1869:242; Fiorelli Scavi 73, Desc 54; Boyce 24--not in PPM",NA,1868,g,truncated,30,75,305,0.2459016393442623,quad,NA,N-S,aligned,S,S,NA,1 testudinate,NA,yes,wide door,tablinum f,no,NA,NA,NA,NA,NA,NA,NA,1,2 (N),1.47,1.47,N,N,"2 (N, W)",0,1,1,0,brick and masonry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,?,NA,possibly a masonry triclinium in ambulatory (Fior Desc 54; Sopr 308),no,NA,NA,none reported,NA,possibly a masonry triclinium in ambulatory (Sopr 308),4 dolia embedded in soil; small altar; terracotta puteal,NA,NA,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,masonry,NA,NA,NA,NA,NA,NA,"altar, sm.,  covered in stucco and decorated W (25)",NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,?,NA,NA,NA,NA,NA,tablinum f,N,E,no,NA,res,7?,NA,7,2022,2022,yes,"2 (N, W)","2 (N, W)",1,NA,NA,1,1,NA,NA,1,W,NA,NA,NA,W,NA,NA,"altar, sm.,  covered in stucco and decorated W (25)",NA,NA,1 (Sop 308),NA,NA,NA,NA,NA,NA,possibly a masonry triclinium in ambulatory (Fior Desc 54; Sopr 308),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,brick,brick,brick,brick
I.03.23_House of Actius Anicetus / House of the Amphitheatre Riot,"Nicc 2:78; GSc 1:185-7; BdI 1869: 240-1; Fiorelli Scavi 74, 145-6; Desc 55-6; Mauiri NSc 1939:168-9",I.ii.23,1868,n,truncated,NA,125,335,0.373134328358209,rect,NA,square,square,S,S,NA,1 tuscan,NA,yes,narrow door,tablinum i or corridor l,yes,55,28,rubble masonry,?,NA,NA,Doric (cubic?),2,"2 (N, E)",NA,NA,NA,NA,"2 (N,E)",5,0,5,2 (S),brick and plaster,no?,unknown,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,"table with a palm branch, names ΣΩΚΡΙΩΝ ΠΕΡΔΙΣ ΤΕΙΜΕΑΣ ΑΠΑΤΗ; amphitheatre riot (BdI 1869:240-1)",4th,NA,NA,no,NA,NA,NA,NA,NA,terracotta puteal in garden; stone block altar built into pluteus on S,NA,NA,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3 (N, E)",NA,NA,NA,altar of stone blocks built into pluteus S (not in Boyce),NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4th,NA,NA,NA,NA,gladiator scenes and amphitheatre riot,corridor l from atrium,N,N,no,NA,res,"3 rooms, 1 stair",1,4,2022,2022,yes,"2 (N, E)","2 (N,E)",1,NA,1,NA,1,NA,1,NA,S,NA,NA,NA,S,NA,NA,altar of stone blocks built into pluteus S (not in Boyce),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,stone,stone,stone,stone,stone
I.03.24_House of Capella,"Nicc 2:78; BdI 1869: 239-40; Fiorelli Scavi 74, Desc 56-7; Boyce 24",NA,1868,k/p,truncated,NA,60,270,0.2222222222222222,rect,NA,N-S,aligned,S,S,NA,1 tuscan,NA,yes,window?,corridor f,no,NA,NA,NA,NA,NA,NA,unknown,2,"2 (N, E)",0.89,1.26,N,E,"2 (N, E)",3,0,3,1,brick or rubble and plaster,NA,unfluted below; upper unknown,unfluted,unknown,NA,NA,37,NA,NA,1.26,NA,NA,NA,NA,animal hunt (BdI 1869:240),NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,masonry,NA,NA,NA,NA,NA,NA,"painting of genius and lares making sacrifice, snake, altar (S) (26)",NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes (S),NA,long corridor f from atrium,N,N,no,NA,res,"5 rooms, 1 stair",1,6,2022,2022,yes,"2 (N, E)","2 (N, E)",1,NA,1,NA,1,NA,1,NA,S2,NA,NA,NA,S,S,NA,"painting of genius and lares making sacrifice, snake, altar (S) (26, Gb 6)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,stone,stone,stone,stone,stone
